,UNITID,TYPE,FORPROFIT,BOARD,FEE1_INDISTRICT_UG,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,TEACHER_CERT,TUITION_GURANTEE,TOTAL_ASSETS,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT,Highest_Bachelor,STATE_SOUTH,FULLTIME_RETENTIONRATE_SPRING
0,100654,1,0,1,1414,0,9855,19916507,1,0,278440664,7257779,27527791,176182,0,0,1,54
1,100706,1,0,1,1608,0,5793,8533685,1,0,521103730,12878882,20821717,109283,0,0,1,82
2,100724,1,0,1,2740,0,7027,13341998,1,0,325537085,12928881,15714772,170200,0,0,1,62
3,100751,1,0,0,840,1,39560,26353781,1,0,4881510109,103079114,60453485,772030,0,0,1,87
4,100830,1,0,0,868,0,4606,11282206,1,0,184716313,4592684,7303651,105571,0,0,1,70
5,100858,1,0,0,1716,1,17946,15631504,1,0,3845168598,144933734,38623385,84512,10345,0,1,92
6,100937,0,1,0,1250,0,2460,1313515,1,0,150253116,3760960,8950139,10878745,44619283,1,1,80
7,101189,0,1,1,1990,0,1572,5075304,1,0,91818974,2773551,9018481,12599710,43624987,0,1,60
8,101435,0,1,1,1489,0,2129,1902219,1,1,90105209,2197449,6536882,10696399,23465278,1,1,70
9,101480,1,0,0,1400,0,10932,15284630,1,0,381479000,8930333,22832049,0,0,0,1,73
10,101541,0,1,1,1400,0,432,571692,1,0,31270049,669507,1382833,2019208,9415776,1,1,63
11,101587,1,0,0,1890,0,1834,5594415,1,0,101777589,5992220,9111864,597128,0,0,1,63
12,101693,0,1,1,1665,0,2037,2505794,1,0,69808365,874487,2908818,14114661,27326468,0,1,78
13,101709,1,0,0,1620,0,4954,4291888,1,0,126438432,8227788,12943789,84075,0,0,1,78
14,101879,1,0,0,1020,0,2739,10211777,1,0,264947607,6760322,12747796,109026,0,0,1,77
15,101912,0,1,1,1016,0,1135,3663289,0,0,104408271,3927896,5565380,7367675,57843238,0,1,74
16,102049,0,1,0,950,1,3867,1885590,1,0,717316592,13000955,29910623,60730000,174210922,0,1,87
17,102094,1,0,0,500,0,8084,18312268,1,0,1514346000,33680000,44931000,35000,0,0,1,76
18,102234,0,1,0,2532,0,2742,2145023,1,0,150695783,2534760,6783661,31228807,38976023,0,1,81
19,102270,0,1,1,1744,0,1230,3579888,1,0,68739990,1182778,2314781,1804795,17010814,1,1,56
20,102368,1,0,1,1108,0,7018,23420075,1,0,558801599,18429461,39633247,424218,0,0,1,77
21,102377,0,0,1,3020,0,11113,6906993,1,0,403219551,5485588,9052996,18376116,127114367,0,1,77
