,index,UNITID,TYPE,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,STATE,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT
0,135,130253,0,44080,270,12189,4746256,NORTH,14970150,47240166,92335664,234061157
1,547,177542,0,22500,1500,492,1062947,MidWest,548503,2238376,5690513,14604706
2,1041,225502,1,5002,2311,3570,7951250,SOUTH,11661004,9188368,2436226,0
3,737,198464,1,4452,2787,20313,36114112,SOUTH,45567386,20070425,24452588,0
4,581,181127,0,31190,1580,2126,1433360,MidWest,1132752,7868736,17079137,30148961
5,596,183026,0,9600,50,37143,125672827,NORTH,140649300,277299818,85386170,790656154
6,259,147679,0,31430,670,4782,4175232,MidWest,6677694,12491011,25191606,63473907
7,142,131098,0,26934,350,1594,2548245,SOUTH,1193275,4811302,11991582,30048030
8,644,190415,0,58586,696,51500,12105746,NORTH,298062212,203632616,405891863,2458715330
9,976,218539,0,37400,2860,2016,1510891,SOUTH,5019191,11359237,25638999,45508486
10,694,195304,0,56020,1500,3674,847272,NORTH,5678193,12403393,35953511,81285359
11,169,136215,0,32370,1060,13727,11584994,SOUTH,98760202,46317589,99300367,655006655
12,309,153375,0,29076,716,1810,3256770,MidWest,2997492,7570759,21685479,36607154
13,1006,220473,0,16400,1890,573,1373458,SOUTH,2284240,3493421,2330953,23297743
14,216,141060,0,25942,4030,9118,4964062,SOUTH,9566732,13774966,19853021,102759285
15,664,192703,0,41600,4280,8429,4992040,NORTH,13243244,17963779,73043624,137816907
16,195,139630,0,20760,460,946,1908640,SOUTH,349538,4987752,8018578,15818523
17,977,218645,1,10398,362,3055,6254903,SOUTH,4803368,8038616,6598985,0
18,680,194091,0,38060,1700,11007,7499815,NORTH,25994324,29194004,66034445,268786586
19,419,164492,0,36920,2500,2742,1837320,NORTH,1099291,10105801,21042753,27627245
20,940,216542,0,21320,1286,522,1211869,NORTH,777597,1442022,4103064,13571530
21,720,196219,1,7070,1883,4594,7276307,NORTH,23888283,10187063,7781051,0
22,934,216038,1,7716,2268,5461,10154239,NORTH,12589940,18134325,6944460,325953
23,1079,229063,1,6941,1696,6687,23729003,SOUTH,17680977,16083438,4342457,201474
24,298,152567,0,32990,500,3841,2632254,MidWest,4221437,7401754,38066278,61889093
25,1024,221953,0,25350,150,2463,2940400,SOUTH,1499440,5923600,15741386,32983475
26,897,213303,0,14500,2500,1698,3256856,NORTH,1873558,4886171,13109767,27733921
27,886,212133,0,34136,570,2095,3189158,NORTH,3991846,11654301,27814404,51984391
28,201,139931,1,4371,2114,17250,39805340,SOUTH,54384255,37124893,39316,0
29,503,173142,0,27700,680,665,729381,MidWest,641830,5316347,8511818,20223622
30,1045,225627,0,31020,1266,6883,10192968,SOUTH,24542483,24388441,76515867,177719455
31,383,160658,1,5407,4951,9870,23781814,SOUTH,23727343,16766558,2519937,0
32,1073,228796,1,7446,1804,13121,57128120,SOUTH,30663404,23799327,32545851,0
