UNITID,TYPE,FORPROFIT,StudyAbroad,TUITVARY,ROOM,BOARD,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,TUITION2_INSTATE_UG,FEE2_INSTATE_UG,TUITION3_OUTSTATE_UG,FEE3_OUTOFSTATE_UG,INSTATE_TUITION_FEES_P,OUTSTATE_TUITION_FEES_P,OFFCAMPUS_SELF_EXP,OFFCAMPUS_FAMILY_EXP,ADMS_REUIRED_GPA,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,NUM_FULLTIME_FALLCOHRT,FULLTIME_RETENTIONRATE_SPRING,STUD_TO_FAL_RATIO,TOTAL_FIRSTYR_UG,PRCNT_FIRSTYR_UG,PRCNT_UG_AWARDEDAID,TOTAL_AID_UG,PRCNT_UG_AWARDED_PELL,TOTAL_AMOUNT_PELL_TOUG,PRCENT_FLOANS_TOUG,TOTAL_AMOUNT_FLOANS_UG,TOTAL_SALARY_FT_CONTRACT,DUAL_ENROLLMENT,AP_CREDIT,TEACHER_CERT,COUNSELING_SERVICES,EMPLOYMENT_SERVICE,ACADEMIC_LIBRARY,TUITION_GURANTEE,TUITION_PAYMENTPLAN,ATHASSOC,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,TOTAL_PELL,STATEGRANT,LOCAL_GRANT,DISCOUNTSAPPLIED_TO_TUTFEES,Highest_Bachelor,STATE_SOUTH
100654,1,0,1,1,1,1,8610,1414,8610,1414,17220,1414,10024,18634,3090,3440,1,0,9855,1688,54,18,1688,32,87,45409382,71,19916507,75,28131849,16100143.0,1,1,1,1,1,1,0,1,1,278440664,263028799,7257779,27527791,18427393,176182,0,22985068,0,1
100706,1,0,1,1,1,1,9730,1608,9730,1608,22126,1608,11338,23734,4076,4076,1,0,5793,1489,82,19,1489,19,72,58435613,24,8533685,39,20051487,27356289.0,1,1,1,1,1,1,0,1,1,521103730,418779906,12878882,20821717,9005275,109283,0,50114488,0,1
100724,1,0,1,1,1,1,8328,2740,8328,2740,16656,2740,11068,19396,4228,4228,1,0,7027,1000,62,15,1000,27,93,29288349,74,13341998,78,27329106,21689180.115322582,1,1,1,1,1,1,0,1,1,325537085,354313634,12928881,15714772,11454301,170200,0,10759214,0,1
100751,1,0,1,1,1,0,10780,840,10780,840,30250,840,11620,31090,4620,5692,1,1,39560,6734,87,20,6734,21,67,302907289,17,26353781,36,76675367,125001923.0,1,1,1,1,1,1,0,1,1,4881510109,2542095875,103079114,60453485,27196901,772030,0,275547610,0,1
100830,1,0,1,1,1,0,7992,868,7992,868,17952,868,8860,18820,3830,3830,1,0,4606,602,70,16,602,13,77,26325259,47,11282206,54,16818775,12101578.0,1,1,1,1,1,1,0,1,1,184716313,182619344,4592684,7303651,11011844,105571,0,15969905,0,1
100858,1,0,1,1,1,0,10080,1716,10080,1716,30240,1716,11796,31956,5904,5904,1,1,17946,4761,92,20,4761,19,57,123179318,13,15631504,30,47130178,100224546.0,1,1,1,1,1,1,0,1,1,3845168598,2458734610,144933734,38623385,16203862,84512,10345,122754700,0,1
100937,0,1,1,0,1,0,17650,1250,17650,1250,17650,1250,18900,18900,4690,4690,1,0,2460,332,80,10,332,27,97,13427505,23,1313515,46,3572267,5795822.0,1,1,1,1,1,1,0,1,1,150253116,46263992,3760960,8950139,1333126,10878745,44619283,0,1,1
101189,0,1,1,0,1,1,21000,1990,21000,1990,21000,1990,22990,22990,4800,4800,1,0,1572,258,60,13,258,12,85,17922874,50,5075304,64,12241248,2551928.0,1,1,1,1,1,1,0,1,1,91818974,46977221,2773551,9018481,5936806,12599710,43624987,1399846,0,1
101435,0,1,1,0,1,1,25546,1489,25546,1489,25546,1489,27900,27900,2068,2035,1,0,2129,256,70,13,256,25,98,13414317,41,1902219,73,5137379,3222805.0,1,1,1,1,1,1,1,1,1,90105209,29825484,2197449,6536882,2028506,10696399,23465278,418209,1,1
101480,1,0,1,1,1,0,9720,1400,9720,1400,19440,1400,11120,20840,2692,4843,1,0,10932,1469,73,21,1469,19,77,43412578,40,15284630,67,30042686,19777704.0,1,1,1,1,1,1,0,1,1,381479000,306254000,8930333,22832049,10419000,0,0,30677000,0,1
101541,0,1,1,0,1,1,17240,1400,17240,1400,17240,1400,18640,18640,3280,3280,1,0,432,46,63,5,46,18,95,3082656,55,571692,72,1133269,21689180.115322582,1,1,1,1,1,1,0,1,1,31270049,16701634,669507,1382833,611597,2019208,9415776,173719,1,1
101587,1,0,1,1,1,0,9100,1890,9100,1890,18200,1890,10990,20090,3505,3505,0,0,1834,320,63,14,322,14,78,11381948,53,5594415,67,10567529,5908779.0,1,1,1,1,1,1,0,1,1,101777589,121395658,5992220,9111864,6350696,597128,0,12519840,0,1
101693,0,1,1,0,1,1,22700,1665,22700,1665,22700,1665,24310,24310,4800,4800,1,0,2037,266,78,14,266,15,67,15726234,30,2505794,47,7709984,2504036.0,1,1,1,1,1,1,0,1,1,69808365,37202523,874487,2908818,2511249,14114661,27326468,855345,0,1
