UNITID,ADMCON1,ADMCON4,APPLCN
100654,1,2,9855
100663,1,1,10391
100706,1,3,5793
100724,1,3,7027
100751,1,1,39560
100830,1,3,4606
100858,1,1,17946
100937,1,2,2460
101189,1,3,1572
101365,2,3,177
101435,1,2,2129
101453,5,3,3
101480,1,3,10932
101541,1,2,432
101587,2,2,1834
101648,1,5,1000
101693,1,3,2037
101709,1,2,4954
101879,1,2,2739
101912,1,2,1135
102049,1,1,3867
102094,1,3,8084
102234,5,2,2742
102270,1,3,1230
102368,1,2,7018
102377,1,2,11113
102553,5,2,3081
102614,1,3,1361
102632,1,2,488
102669,1,2,428
104151,2,2,53516
104179,1,2,43540
104586,5,1,4250
104717,1,3,48918
105330,1,3,37386
105589,1,2,317
105899,1,3,778
106245,1,2,4363
106342,1,2,2062
106397,1,5,19777
106412,1,2,5464
106458,1,2,5836
106467,1,2,7139
106546,1,3,8
106704,1,3,5642
106713,1,2,530
107044,2,2,2201
107071,1,3,3673
107080,1,1,1775
107141,1,2,1422
107512,1,2,2524
107558,1,2,1712
107585,5,3,965
107877,1,3,1228
107983,1,2,3426
108852,5,3,198
109086,3,3,0
109651,2,2,1008
109785,1,3,4534
110097,1,2,4324
110361,1,2,6961
110370,1,2,2625
110404,2,1,8007
110413,1,1,5568
110422,1,1,52371
110468,1,3,21
110486,1,1,12235
110495,1,1,7136
110510,1,1,14435
110529,1,1,38026
110538,1,1,19999
110547,1,1,19399
110556,1,1,15448
110565,1,1,45449
110574,1,1,13858
110583,1,1,67426
110592,1,1,31442
110608,1,1,27765
110617,1,1,25734
110635,1,3,88062
110644,1,1,76897
110653,1,1,97938
110662,1,1,108870
110671,1,1,49442
110680,1,1,100062
110705,1,1,90961
110714,1,1,54988
110918,1,2,1
111081,5,5,2254
111188,1,1,988
111948,1,1,14252
111966,1,2,364
112075,1,5,3327
112084,1,5,614
112260,2,1,5306
112394,2,3,155
113582,3,3,3
113698,1,2,1971
114354,1,2,1615
114390,1,2,118
114813,1,3,959
115409,5,1,3397
115728,1,2,1884
115755,1,1,10198
117104,1,3,116
117140,1,1,8212
117168,1,3,439
117283,1,3,22
117627,1,1,5113
117751,1,1,1924
117946,1,1,18576
118198,3,3,86
118693,1,1,2471
118888,1,2,824
119173,1,2,1986
119270,2,2,301
119605,1,3,47
119775,1,3,80
120166,1,3,13
120254,5,2,6939
120403,5,2,2342
120537,1,2,794
120661,3,3,276
