UNITID,F1A06,F1A13,F1C051,F1C061,F1E01,F1E03,F1E04,F1E08,F1N07   
100654,278440664,263028799,7257779,27527791,18427393,176182,0,22985068,162897947
100663,5558803134,3414391964,173773607,40974834,23943357,304826,44643,85456029,4114622690
100706,521103730,418779906,12878882,20821717,9005275,109283,0,50114488,271026168
100724,325537085,354313634,12928881,15714772,11454301,170200,0,10759214,145173225
100733,30119005,25162328,0,0,,,,,21485455
100751,4881510109,2542095875,103079114,60453485,27196901,772030,0,275547610,1109387116
100760,31113057,27043625,1092959,2843320,2724605,1093429,0,3230893,16743406
100812,75353562,54515665,3692324,3351171,5437694,246814,0,3411287,38816619
100830,184716313,182619344,4592684,7303651,11011844,105571,0,15969905,89786767
100858,3845168598,2458734610,144933734,38623385,16203862,84512,10345,122754700,1140229313
101028,26583134,23822469,603184,2172993,3542718,1398796,147867,2801317,16879506
101143,45872871,24869793,953636,2799091,4613891,861771,0,3523891,21757753
101161,112595354,81014261,5186074,6277268,12609700,4531211,26150,12624747,64345284
101240,103374468,80319716,2808057,6710254,10401027,562946,9366,9866785,47363378
101286,79083423,48800991,1795672,4367047,8766898,353072,0,8093051,39188788
101295,141374118,78249254,4451138,6248703,10034913,424507,0,7420268,49014840
101301,37328024,21671429,972172,2768988,3653683,704474,0,3079690,24056062
101462,15646229,11618963,1042057,1342287,2298259,987076,33663,1165260,10719159
101471,12553545,15751871,1625966,1657903,441920,0,0,2184739,13231047
101480,381479000,306254000,8930333,22832049,10419000,0,0,30677000,10542327
101505,135725845,79516462,970568,6204298,11512780,563503,35771,10601380,56377710
101514,182474514,93547778,5257887,6611805,10882499,732166,0,8692250,67439557
101569,69515420,62437441,2082962,3643163,8799508,985861,46000,7462936,38140534
101587,101777589,121395658,5992220,9111864,6350696,597128,0,12519840,74235729
101602,25616481,24041708,1517922,2083582,4042989,336891,0,3644652,17400929
101648,26158633,16140502,799707,3157852,777878,0,0,2697024,14991285
101709,126438432,133102624,8227788,12943789,4479335,84075,0,16064601,86013798
101736,52681886,37294619,2691433,4643563,5949057,173555,0,3911508,32024166
