UNITID,F2A02,F2A03,F2E041,F2E051,F2C01,F2C08,F2I07   ,F2C03,F2C04
100690,15207430,1055058,650260,1075444,1263175,1319828,6987409,0,0
100937,150253116,46263992,3760960,8950139,1333126,10878745,44619283,0,0
101189,91818974,46977221,2773551,9018481,5936806,12599710,43624987,1399846,0
101365,12409960,3585638,352839,1774069,2216100,979581,5762641,25468,0
101435,90105209,29825484,2197449,6536882,2028506,10696399,23465278,418209,0
101453,19196743,2031445,211899,328584,124013,0,3413020,0,0
101541,31270049,16701634,669507,1382833,611597,2019208,9415776,173719,0
101675,86317354,25569275,1929390,8497881,7004496,4071318,31170677,583473,10473
101693,69808365,37202523,874487,2908818,2511249,14114661,27326468,855345,0
101912,104408271,19154713,3927896,5565380,3774656,7367675,57843238,60142,0
102049,717316592,460870054,13000955,29910623,1900665,60730000,174210922,1163228,0
102234,150695783,69298942,2534760,6783661,2199991,31228807,38976023,643228,0
102270,68739990,47762503,1182778,2314781,3606677,1804795,17010814,0,0
102298,101716338,36183169,891389,4976532,5606444,3840950,22042692,1144663,0
102377,403219551,138268783,5485588,9052996,6721945,18376116,127114367,1470960,0
102395,24628956,340723,131564,658237,167918,106307,4653242,300,0
102580,2643082,483342,47205,9057,58357,133245,951165,27116,0
102669,144152746,13314796,408756,3101875,647359,2947130,16024724,104250,0
103945,442416,422723,653154,653154,102244,15200,2424221,0,0
104586,,,3887000,12974000,3080117,38593000,,184321,0
104665,,,40129,345521,0,31321,,0,0
105589,28971986,13618117,2142618,3976695,1118621,4318953,18227209,0,0
105899,56555251,32461808,2757526,7181767,1523935,10494088,21301937,0,0
106306,32804765,38757895,250313,1109590,2145993,619287,13137441,112654,0
106342,123601138,37610844,2043510,7082902,1318344,16049889,26695592,1164250,0
106546,,,383999,310150,1406970,369365,,171618,0
106713,27767348,10850801,854134,884829,1475154,3953352,9678600,713327,0
106810,5532340,2433701,387436,928907,484942,954511,3488741,143000,0
107044,420448563,69731843,12441144,17547022,3957111,31249263,120769597,2951750,0
107080,329302619,120048858,4040318,9391724,1549401,30838058,49009653,0,0
107123,,,192009,58480,177337,40699,,40699,0
107141,239506733,12384105,6438591,9156448,2228136,19351886,48365104,1337750,0
107512,209281744,63634310,1836948,9738875,2044507,25468198,44976198,3199443,0
