UNITID,F3A01,F3A02,F3E03A1,F3E03B1,F3C01,F3C06,F3B02,F3C03A,F3C03B,,,,
101116,2379172,379557,236199,782416,1121559,0,6424459,90774,0,,,,F3A01
101277,,,11052,19614,400787,0,,0,0,,,,F3A02
102845,43746141,4757682,2442763,17787198,13311302,6772187,46262511,1511106,496690,,,,F3E03A1
103501,5278741,2036806,2212573,211173,1190935,0,4608906,557377,0,,,,F3E03B1
103741,,,0,52647,562456,0,,30635,0,,,,F3C01
103893,,,294098,2529277,3231163,0,,0,79599,,,,F3C06
103909,,,255335,2204343,1743085,0,,0,263906,,,,F3B02
103927,,,209853,1320292,1402529,0,,0,4050,,,,F3C03A
103954,,,0,38456,186780,0,,0,10213,,,,F3C03B
103963,,,578148,533877,2165892,0,,0,0,,,,
104090,19954354,12636885,10098138,5360769,11144128,0,36935948,0,0,,,,
104391,,,84871,64302,234540,0,,0,0,,,,
104443,,,0,54200,416946,0,,500,0,,,,
104568,,,0,694482,1080784,0,,0,0,,,,
104717,1676203892,1265463118,124506573,439695909,170026423,263747125,1183376966,172637,0,,,,
105215,,,3206000,6751000,2475000,606000,,1000,0,,,,
105534,22819556,3327274,526798,5919608,5750177,327808,21417462,31912,0,,,,
105543,7833457,5283289,351026,2825775,2744058,42654,11100383,0,0,,,,
105659,16818080,3656362,1200513,802964,2950029,834929,12116352,2362534,243380,,,,
105677,,,142000,24753,33880,0,,0,0,,,,
106041,171925000,65921000,5379000,11548000,5478000,2373000,31217000,10000,0,,,,
106111,,,0,58605,299466,0,,27760,0,,,,
106315,,,12833,17200,405255,0,,0,0,,,,
106324,,,0,0,93310,0,,0,8013,,,,
106351,,,11099,39871,436521,0,,0,0,,,,
106360,,,5250,0,161313,0,,0,0,,,,
106494,,,52630,0,467857,0,,0,0,,,,
106892,,,1844279,570770,1681854,0,,0,0,,,,
106908,,,120055,224398,1615858,0,,0,0,,,,
107099,,,0,0,372648,0,,0,0,,,,
107220,,,2172,15898,897227,27864,,51971,0,,,,
107293,,,71109,108619,211372,0,,0,0,,,,
107442,,,4600,5000,173950,0,,0,0,,,,
107655,,,28246,45586,193131,0,,0,0,,,,
107789,,,35097,113687,349397,0,,0,0,,,,
107831,,,26000,47000,265463,0,,0,0,,,,
108065,,,1635,950,55810,0,,0,0,,,,
108232,96891874,51802823,814401,39556749,12229127,12715368,233438416,2509073,0,,,,
108977,,,91336,293609,403154,0,,0,0,,,,
109040,51951030,37997423,1542036,3094987,10864194,608603,49809839,1020590,0,,,,
109721,,,252403,1100914,1798854,0,,0,0,,,,
109730,,,264660,328496,633870,0,,0,0,,,,
109934,,,832372,144109,1201743,0,,0,6351,,,,
110194,,,20200,110680,763110,0,,0,0,,,,
110219,9732573,5062068,427748,3408097,8191951,0,21252654,0,0,,,,
110468,79508204,81691359,13954759,15722064,157319,2312119,74477060,50917,0,,,,
110778,1420229,2234225,633211,799191,27656,39510,8417634,0,0,,,,
110875,,,32015,43200,339300,0,,0,0,,,,
111054,,,68044,44308,320145,0,,0,0,,,,
111513,,,156230,312896,509749,0,,0,0,,,,
112181,,,0,0,234551,0,,0,0,,,,
112288,,,378335,777562,1406123,0,,0,0,,,,
112394,6708055,7567519,1172458,2975741,1479930,854686,14170782,875417,0,,,,
112455,,,18885,18885,350848,0,,0,0,,,,
113449,,,63043,326560,889435,0,,0,0,,,,
113582,1629873,854788,646081,518785,292477,51492,3045096,4223,0,,,,
114114,1956155,858121,434767,250755,0,0,3855203,0,0,,,,
114123,3519190,2430742,558323,965907,859002,0,4975202,2943,29821,,,,
114354,92355828,60314911,3052227,24293829,3519790,0,77813751,1928175,0,,,,
114460,,,89703,473577,1061190,0,,0,0,,,,
114585,1224121,387387,1074583,1074583,0,0,4220876,0,0,,,,
114637,,,51086,3635,178252,0,,0,0,,,,
114761,,,30695,35455,257217,0,,27969,0,,,,
115010,,,327704,680917,2338180,0,,0,0,,,,
115357,,,204352,27452,490322,0,,0,0,,,,
115658,,,25739,41945,414547,0,,0,0,,,,
115746,22122531,18269348,1653859,1366988,0,549805,18444290,0,0,,,,
115931,6110793,7610023,836999,1151419,1381625,0,7215947,112042,0,,,,
116226,1692398,876256,54584,391582,124919,0,2585303,0,0,,,,
116350,,,695680,591423,1053700,0,,0,0,,,,
116563,,,797220,120934,760867,0,,0,0,,,,
117238,,,67690,60638,659735,0,,0,0,,,,
117955,,,432319,339981,1338981,0,,0,0,,,,
118134,,,153955,5000,262079,0,,0,0,,,,
118143,,,102635,5000,190951,0,,15271,0,,,,
118161,,,330046,181575,307768,0,,80653,35850,,,,
118198,9200055,1175407,1168991,692447,2904874,0,7766337,806279,0,,,,
118958,,,11957,13682,151918,0,,0,0,,,,
118994,,,213574,84532,716064,0,,0,0,,,,
119270,26918482,14421069,2438258,2105524,782615,1537419,22800429,61977,0,,,,
119553,,,670521,2348097,3805010,49020,,45277,0,,,,
119775,8704000,3901000,3128100,311818,954550,1992639,13631000,2929966,0,,,,
119845,,,58845,41022,226278,0,,0,0,,,,
119951,,,0,0,635876,0,,0,0,,,,
120069,,,147971,292891,1435751,0,,45320,7600,,,,
120078,13692776,6220488,305392,973380,2575282,0,49897332,58923,38169,,,,
120087,,,106295,306498,1279752,0,,33863,6502,,,,
120661,3223000,866000,579000,1169000,2386000,459000,11243000,7000,36000,,,,
121275,2361071,1861838,375894,502872,506348,0,2916531,0,0,,,,
121433,,,11922,17594,408920,0,,0,0,,,,
121637,,,154262,1000,219034,0,,14933,0,,,,
121859,,,96336,299365,871448,0,,0,0,,,,
121868,,,131525,523652,1441647,0,,0,0,,,,
121992,,,154003,239336,566098,0,,0,0,,,,
122834,3644832,3521141,284312,597050,1754250,0,6359586,55372,0,,,,
122852,,,163294,205190,306800,0,,2370,0,,,,
123350,,,100000,35000,590000,0,,0,0,,,,
123642,1485688,881299,68912,20241,667457,0,2902301,86104,0,,,,
123679,2033000,2392000,612000,931000,2084000,65000,11963000,49000,15000,,,,
124681,,,0,4069746,4052038,0,,0,0,,,,
124706,4852000,3696000,571000,1065000,3311000,93000,11606000,36000,47000,,,,
124937,3543000,2784000,616000,934000,2502000,69000,10505000,69000,5000,,,,
125082,,,0,0,54808,0,,0,0,,,,
125231,731337000,158863000,45454000,17197000,15740047,116791273,487969000,0,0,,,,
125310,,,98072,2500,229710,0,,0,34000,,,,
125532,,,1010952,5166072,5076684,0,,306085,42996,,,,
126164,,,29701,133082,291110,0,,0,0,,,,
126359,1972801,334949,247790,360880,732912,0,4070900,0,0,,,,
126605,1911414,2526302,1125523,952366,1067329,0,6166627,0,0,,,,
126687,3958000,134000,554000,846000,2519000,161000,11018000,227000,154000,,,,
126784,2773996,75912,234903,226796,284161,0,2192881,0,0,,,,
126827,844556439,43693952,17509761,60530638,97641300,35032508,290541739,286503,0,,,,
126951,,,0,550961,4054601,0,,0,0,,,,
127316,,,295432,381212,911207,0,,67706,0,,,,
127945,10274212,5621460,1725830,3942022,4184206,1371656,23709724,175353,0,,,,
128179,10082894,9311753,293661,448652,2153925,0,18825280,0,0,,,,
128188,10082894,9311753,293661,448652,4008266,0,18825280,0,36605,,,,
128337,,,0,54225,393687,0,,24450,0,,,,
128896,,,104922,243112,204812,0,,0,0,,,,
129002,,,476983,480579,1494061,296699,,287165,0,,,,
129181,,,0,722936,4211573,0,,4680,0,,,,
129349,,,129381,232886,513736,0,,0,0,,,,
129482,,,2299165,1328009,3009369,0,,192895,0,,,,
129923,,,0,326804,2110651,0,,0,0,,,,
129932,,,406779,406779,2167880,0,,0,0,,,,
130110,1145712,973801,137713,117108,252716,0,1231451,0,0,,,,
130174,,,3165997,3492945,8234305,1927057,,763629,0,,,,
130183,52708840,16787542,14170090,29752817,42433140,24439025,133740899,0,0,,,,
130509,,,1392678,3094390,5639747,0,,0,0,,,,
130873,,,569818,1463864,1259987,0,,48000,30713,,,,
131061,,,21867,99903,321919,0,,8084,0,,,,
131803,56113779,6645230,895405,2810443,2197629,1714151,8602167,0,0,,,,
133465,5128974,2649952,325299,1145979,1831453,0,11560722,852032,0,,,,
133845,4213000,2251000,552000,782000,2918000,256000,10170000,4000,372000,,,,
133854,2757000,2565000,524000,751000,2500000,87000,8687000,1000,76000,,,,
133863,3394000,3229000,474000,736000,2241000,22000,6718000,0,104000,,,,
133942,,,86079,103736,93875,0,,0,0,,,,
133997,24898695,18837872,0,3104246,1682039,0,77869848,0,0,,,,
134024,,,116681,132908,307616,0,,0,0,,,,
134228,,,130,990,118500,0,,0,0,,,,
134237,253558526,189906340,60115693,35839904,84762337,54724590,357273616,1473287,631926,,,,
134422,748230,62625,2500,35000,10120,0,440762,2910,0,,,,
134529,,,641284,349767,1107011,0,,0,0,,,,
134574,,,39183,140351,350576,0,,0,0,,,,
134714,,,180913,98849,506019,0,,0,0,,,,
134811,10173693,2792319,2421009,2417665,3393497,4344568,26070528,1210187,0,,,,
135142,,,348250,80183,676583,0,,0,0,,,,
135337,,,83819,61061,226729,0,,21366,0,,,,
135559,,,204662,0,81337,0,,0,0,,,,
136109,,,91816,134531,531483,0,,0,10596,,,,
137591,,,254751,361014,845221,0,,0,0,,,,
138309,12814922,2223098,19129273,47624140,30775860,0,94004962,430074,845501,,,,
138655,29632999,17487179,202478,1711737,2970032,0,8082498,0,0,,,,
138664,,,16804,324585,470658,0,,0,0,,,,
138813,5410094,2513872,1300213,2033365,4529940,4350894,19596248,1088573,0,,,,
138822,,,2517095,136989,1915157,45870,,0,0,,,,
138929,28814630,2173060,2027735,761355,0,0,9517570,0,0,,,,
138938,,,176702,377928,803241,0,,0,0,,,,
139506,,,180993,153767,230003,0,,0,0,,,,
139579,13755685,1219427,966534,1617211,1212374,0,17407197,437842,0,,,,
140003,3315591,1684908,334004,527473,1212148,0,1918113,0,0,,,,
140827,,,12140,574200,43250,0,,0,0,,,,
141015,,,353261,408331,138340,0,,0,0,,,,
141608,,,97468,186490,347834,0,,0,0,,,,
142054,,,104431,1102996,1353837,0,,0,8010,,,,
142407,,,28853,0,293356,0,,0,0,,,,
142416,,,500,100,262244,0,,0,0,,,,
142489,,,3000,3000,178120,0,,0,0,,,,
143376,,,319983,170855,619111,0,,0,0,,,,
143464,,,82129,0,230194,0,,0,0,,,,
143473,,,1000,867,110578,0,,0,0,,,,
143482,,,466,1433,229540,0,,0,0,,,,
143491,,,5000,4000,209755,0,,0,0,,,,
143552,,,4500,1000,245591,0,,0,0,,,,
144485,8770315,4996780,65860,1131434,1276705,0,9375858,0,0,,,,
144573,,,6932,171256,161701,0,,0,0,,,,
144777,95428799,60399926,19546609,133673924,,,331002430,,,,,,
144795,,,736030,186902,1027194,0,,0,0,,,,
145099,,,311567,268285,642690,11500,,0,157835,,,,
145239,2008531,667883,877119,620900,1722419,0,9354532,1029431,0,,,,
145309,,,191500,6314,86825,0,,0,0,,,,
145406,,,9777,711559,1104440,0,,0,0,,,,
145424,,,64845,34765,91249,0,,0,0,,,,
145433,,,165115,130309,257341,0,,0,0,,,,
146454,,,122223,61111,180499,4000,,0,0,,,,
146700,,,0,451215,3041259,0,,0,0,,,,
146807,,,0,0,112197,0,,0,0,,,,
147642,,,2396,7189,81452,0,,0,0,,,,
147819,,,70939,109174,137452,0,,0,0,,,,
148098,,,6500,3700,104296,0,,0,0,,,,
149204,,,229312,114657,214660,1500,,0,0,,,,
149310,896523,1016203,292369,159083,308148,0,2149771,0,0,,,,
149499,,,9341,14404,38430,0,,0,0,,,,
149550,,,0,80000,418532,45910,,7491,250,,,,
150251,1258199,101304,47291,0,477993,0,1960820,0,0,,,,
150303,,,102738,194205,746922,0,,181742,0,,,,
150428,,,23251,0,55385,0,,0,0,,,,
150765,,,0,235846,135868,0,,0,0,,,,
150853,,,203033,0,559081,0,,0,0,,,,
151467,751764,442113,780833,1562811,1258181,0,6201536,847697,0,,,,
151564,,,33080,0,74310,0,,0,0,,,,
151607,,,49326,70544,335379,0,,0,0,,,,
151652,,,0,105077,844317,0,,46517,0,,,,
151661,194763000,139633000,0,471945,2726484,0,271327000,121855,0,,,,
152044,,,38578,30601,121457,0,,0,0,,,,
152150,,,64949,3438,227189,0,,0,0,,,,
152275,,,163443,30669,576943,0,,0,0,,,,
152309,,,19722,29738,462247,0,,0,0,,,,
152628,,,0,0,73443,0,,0,0,,,,
153074,,,416323,326669,447947,50225,,12523,0,,,,
153083,,,410139,227933,416688,65434,,20355,0,,,,
153427,1359092,675083,470981,181779,739249,0,2723216,0,0,,,,
153463,,,100352,50414,154770,0,,0,0,,,,
153597,,,210095,150435,283457,0,,4136,1338,,,,
153746,,,0,0,60624,0,,1935,0,,,,
153764,,,0,0,120018,0,,2684,0,,,,
153773,,,195732,28988,326851,0,,15330,0,,,,
153782,,,0,0,62702,0,,2093,0,,,,
154022,106858000,79866000,40752000,229141000,98173000,162800000,385351000,99000,0,,,,
154165,,,145125,66498,110001,0,,0,1620,,,,
154208,,,0,187443,672971,0,,0,0,,,,
154332,,,0,0,194089,0,,5156,0,,,,
154448,,,373275,210977,401816,46324,,10906,0,,,,
154457,,,179991,71345,230304,0,,4000,1500,,,,
154466,,,23757,68516,269329,0,,0,0,,,,
154518,14126249,10936616,2995419,4252937,4544571,8220310,24146198,327816,0,,,,
154545,,,20300,28600,226534,0,,0,0,,,,
155159,,,0,0,247378,0,,0,0,,,,
155283,3215000,3253000,529000,857000,2363000,213000,9713000,0,46000,,,,
155353,,,2304,490277,398690,0,,0,0,,,,
156134,3628801,1998809,1360316,340079,5341531,0,14923756,0,0,,,,
156277,,,6402,225626,202217,0,,0,0,,,,
156310,,,360740,459491,829996,0,,0,0,,,,
156426,,,83806,221275,566510,6622,,0,0,,,,
156471,21994005,13163937,8395185,9040451,19698473,0,75096272,1406976,0,,,,
156754,,,85300,0,198570,0,,0,0,,,,
156842,,,42905,177076,511125,61839,,0,0,,,,
156967,,,383352,46487,405408,0,,0,0,,,,
157021,12680224,1911536,101400,1860511,1392278,270809,6583385,139364,0,,,,
157614,,,0,71501,260630,0,,600,0,,,,
157650,,,0,57441,441705,0,,69950,0,,,,
157669,,,0,61540,269896,0,,44837,0,,,,
157678,,,0,67377,517780,0,,20245,0,,,,
157793,207413683,6256737,2304074,801802,8088617,0,65978954,4274535,0,,,,
158246,,,99921,249606,689440,0,,0,0,,,,
158343,225105,190412,73481,2500,152466,0,658545,0,0,,,,
158538,,,23964,22055,149663,0,,0,0,,,,
158617,,,166871,146244,1008492,0,,9465,0,,,,
158778,,,119770,150,390135,0,,5553,0,,,,
158787,,,141805,1681,109948,0,,11606,0,,,,
159027,,,145520,1500,314269,0,,10350,0,,,,
159197,2526031,1721649,312062,1857078,2509783,0,8288954,0,0,,,,
159328,,,70000,700,225855,0,,0,0,,,,
159513,,,3307,186353,732858,0,,19307,0,,,,
159522,,,3733,210350,528296,0,,45226,0,,,,
159531,,,0,0,91098,0,,0,0,,,,
159601,,,0,0,167313,0,,0,0,,,,
160117,,,40000,30000,547374,0,,0,0,,,,
160126,,,0,0,131846,0,,0,0,,,,
160199,,,45815,45376,212698,0,,38147,0,,,,
160320,,,57444,3237316,8129714,0,,20100,0,,,,
160472,,,17853,1000,554097,0,,0,0,,,,
160597,,,60865,113720,446437,0,,0,0,,,,
160995,4875297,2852557,413212,547333,1954421,0,4232410,574993,0,,,,
161493,,,0,82252,474010,0,,91241,0,,,,
161527,,,71692,1468377,1017565,0,,100013,0,,,,
161800,,,215568,0,707589,0,,0,0,,,,
161855,,,158446,11500,201342,0,,0,0,,,,
162335,,,12771,141371,186256,0,,2000,0,,,,
162371,,,149816,619640,1952465,0,,9000,0,,,,
162830,,,67000,67000,319234,0,,6000,0,,,,
163028,,,0,401157,2521118,0,,0,0,,,,
163347,,,0,1393187,2171243,42314,,46704,0,,,,
163408,,,63131,0,1190415,0,,0,0,,,,
163541,,,86594,0,1707492,0,,0,0,,,,
163754,,,309,44475,192630,0,,2582,0,,,,
163815,,,256780,98600,253624,0,,0,0,,,,
164599,,,79000,26000,41248,0,,3850,0,,,,
164641,3508939,10070238,175103,2000388,1009425,0,12801736,94122,0,,,,
164845,,,0,73301,492368,0,,26475,0,,,,
165255,,,107334,576724,466712,0,,0,0,,,,
165556,,,0,316954,1363502,0,,0,0,,,,
165635,,,832643,668148,1474412,0,,350,0,,,,
165750,,,0,45499,170127,0,,7500,0,,,,
166498,,,0,0,209067,0,,0,0,,,,
166805,,,0,0,147395,0,,15255,0,,,,
167039,,,0,14284,58632,0,,2370,0,,,,
168032,,,0,24462,68052,0,,3050,0,,,,
168555,,,1000,14589,90989,0,,0,0,,,,
168573,,,966879,925396,2542220,0,,63159,0,,,,
168892,,,20140,33629,182233,0,,0,0,,,,
169187,,,0,271436,345275,16773,,8135,0,,,,
169284,,,0,130560,872495,0,,20854,0,,,,
169503,,,115412,0,1069180,0,,0,0,,,,
169576,,,72030,47739,230161,0,,45925,0,,,,
169655,11456006,4120988,1429557,2728703,4461472,409000,20085527,120834,0,,,,
169761,,,4128196,11901689,12421951,1089,,1056272,5000,,,,
169813,,,28768,25879,141126,0,,0,0,,,,
169947,,,1366,26243,123034,0,,0,0,,,,
170611,,,79519,122020,292716,0,,0,0,,,,
170736,,,750,9500,289000,0,,0,0,,,,
171775,,,0,18038,101002,0,,0,0,,,,
171988,,,100162,100162,361541,0,,0,10000,,,,
171997,,,167522,167522,579145,0,,0,22608,,,,
172015,,,157927,157927,700241,0,,0,2665,,,,
172325,,,439858,896862,696762,0,,3603,0,,,,
172495,,,0,235807,580643,0,,25718,8010,,,,
172680,,,257581,167428,302527,0,,0,0,,,,
172866,1509883,860263,1437251,342880,180151,0,3509164,234590,0,,,,
173470,,,1345,37080,106848,0,,0,0,,,,
173744,,,10636,599429,888619,0,,428670,0,,,,
174190,,,227355,121064,937607,0,,292515,0,,,,
174321,,,119773,45147,302898,0,,118026,0,,,,
174978,,,0,47672,540195,0,,196203,0,,,,
175014,174150693,66931963,12148211,31853747,12104531,0,70144871,2806100,104466,,,,
175494,,,5876,27569,344171,15168,,0,0,,,,
175607,,,50752,44285,103331,0,,0,0,,,,
175698,,,30521,29782,153339,0,,0,0,,,,
175722,,,2988,13211,170005,0,,0,0,,,,
176062,,,53752,16000,153613,0,,0,0,,,,
176390,,,119845,33658,383712,0,,0,0,,,,
176433,,,7726,0,90190,0,,0,0,,,,
176716,,,147447,59121,382237,0,,0,0,,,,
177302,1408744,831510,773976,1010475,1665234,0,5417151,0,0,,,,
177588,,,9911,41132,108611,0,,0,0,,,,
177603,,,464283,0,327099,0,,0,0,,,,
177685,,,70853,95190,490445,0,,0,0,,,,
178004,,,180556,253894,0,0,,0,120925,,,,
178077,,,23043,162598,192712,20350,,10946,0,,,,
178183,2235449,576623,240330,115952,1053009,0,3054436,0,0,,,,
178527,,,1000,0,114376,0,,0,0,,,,
178767,2790139,1800873,85000,105889,543719,0,1554813,0,0,,,,
178989,1406444,1906185,1314395,190019,123183,0,14420242,40250,0,,,,
179195,,,7692,9650,185952,0,,0,0,,,,
179229,,,0,0,108825,0,,0,0,,,,
179511,7384252,4834737,171784,171784,2673109,0,9075444,0,0,,,,
179991,,,0,0,70608,0,,0,0,,,,
180063,,,0,0,100105,0,,0,0,,,,
180090,,,134234,111288,237995,0,,0,0,,,,
180957,,,191984,54172,360257,0,,76240,0,,,,
181190,,,0,159701,577551,0,,131850,0,,,,
181880,,,0,0,637139,44402,,0,0,,,,
181941,3099562,2044747,230111,208576,1400820,0,5801170,0,0,,,,
182148,3292428,2580535,563995,513069,378831,0,4542834,0,0,,,,
182652,,,81526,111530,74104,0,,0,0,,,,
182704,,,0,0,671140,0,,0,0,,,,
182722,,,0,0,322318,0,,0,0,,,,
182892,,,192256,10255,152900,0,,0,0,,,,
182953,,,0,191545,294149,0,,2875,0,,,,
182999,,,140230,28508,52558,0,,7651,0,,,,
183035,,,10000,24000,17004,0,,0,0,,,,
183202,,,34091,39926,97989,0,,0,0,,,,
183488,2985773,730464,1231751,1000000,1817576,0,6681502,503205,0,,,,
183725,,,0,1571682,2342711,159295,,69276,0,,,,
183789,35516861,11599786,4294689,20590885,13172610,21606260,60515016,11517872,0,,,,
184056,,,0,302530,2110382,0,,0,0,,,,
184278,,,503843,202886,138560,0,,0,0,,,,
