UNITID,STABBR,HLOFFER
100654,AL,9
100663,AL,9
100690,AL,9
100706,AL,9
100724,AL,9
100733,AL,9
100751,AL,9
100760,AL,3
100812,AL,7
100830,AL,9
100858,AL,9
100937,AL,5
101028,AL,3
101116,AL,7
101143,AL,3
101161,AL,3
101189,AL,9
101240,AL,3
101277,AL,2
101286,AL,3
101295,AL,3
101301,AL,3
101365,AL,8
101435,AL,5
101453,AL,7
101462,AL,3
101471,AL,3
101480,AL,9
101505,AL,3
101514,AL,3
101541,AL,5
101569,AL,3
101587,AL,9
101602,AL,3
101648,AL,3
101675,AL,5
101693,AL,9
101709,AL,8
101736,AL,3
101879,AL,9
101897,AL,3
101912,AL,7
101994,AL,3
102030,AL,3
102049,AL,9
102058,AL,7
102067,AL,3
102076,AL,3
102094,AL,9
102234,AL,8
102270,AL,5
102298,AL,7
102313,AL,3
102368,AL,9
102377,AL,9
102395,AL,9
102429,AL,3
102553,AK,9
102580,AK,5
102614,AK,9
102632,AK,7
102669,AK,9
102711,AK,2
102845,WA,5
103501,AK,3
103529,AK,9
103741,AZ,2
103893,AZ,3
103909,AZ,3
103927,AZ,3
103945,AZ,3
103954,AZ,2
103963,AZ,2
104090,AZ,7
104151,AZ,9
104160,AZ,3
104179,AZ,9
104188,AZ,7
104346,AZ,3
104391,AZ,2
104425,AZ,3
104434,AZ,2
104443,AZ,2
104568,AZ,2
104577,AZ,3
104586,AZ,7
104665,AZ,7
104708,AZ,3
104717,AZ,9
105136,AZ,4
105145,AZ,4
105154,AZ,3
105206,AZ,3
105215,AZ,2
105297,AZ,5
105330,AZ,9
105349,AZ,3
105367,AZ,9
105428,AZ,4
105525,AZ,3
105534,AZ,5
105543,NM,3
105589,AZ,9
105659,AZ,3
105668,AZ,3
105677,AZ,1
105747,AZ,3
105792,AZ,3
105899,AZ,5
106041,AZ,3
106111,AZ,2
106148,AZ,3
106245,AR,9
106263,AR,9
106306,AR,5
106315,AR,2
106324,AR,2
106342,AR,5
106351,AR,2
106360,AR,2
106397,AR,9
106412,AR,9
106449,AR,3
106458,AR,9
106467,AR,9
106485,AR,7
106494,AR,2
106546,AR,4
106625,AR,3
106704,AR,9
106713,AR,5
106795,AR,3
106810,AR,5
106883,AR,3
106892,AR,1
106908,AR,2
106980,AR,3
106999,AR,3
107044,AR,9
107071,AR,8
107080,AR,7
107099,AR,2
107123,AR,3
107141,AR,8
107220,AR,2
107293,AR,2
107318,AR,3
107327,AR,3
107442,AR,2
107460,AR,3
107488,AR,2
107512,AR,7
107521,AR,3
107549,AR,3
107558,AR,5
107585,AR,3
107600,AR,5
107619,AR,3
107637,AR,3
107655,AR,2
107664,AR,4
107725,AR,3
107743,AR,3
107789,AR,2
107831,AR,2
107840,AR,3
107877,AR,7
107974,AR,3
107983,AR,7
107992,AR,3
108056,AR,9
108065,AR,2
108092,AR,7
108232,CA,7
108269,CA,9
108649,CA,2
108667,CA,3
108807,CA,4
108852,CA,3
108861,CA,9
108870,CA,7
108977,CA,2
109040,CA,3
109086,CA,7
109208,CA,4
109350,CA,5
109651,CA,7
109721,CA,2
109730,CA,1
109785,CA,9
109819,CA,5
109907,CA,3
109934,CA,4
110060,CA,9
110097,CA,9
110194,CA,2
110219,AZ,7
110246,CA,4
110316,CA,9
110334,CA,3
110361,CA,9
110370,CA,7
110398,CA,9
110404,CA,9
110413,CA,9
110422,CA,7
110468,CA,9
110486,CA,9
110495,CA,9
110501,CA,9
110510,CA,9
110529,CA,9
110538,CA,7
110547,CA,8
110556,CA,9
110565,CA,9
110574,CA,9
110583,CA,9
110592,CA,9
110608,CA,9
110617,CA,9
110635,CA,9
110644,CA,9
110653,CA,9
110662,CA,9
110671,CA,9
110680,CA,9
110699,CA,9
110705,CA,9
110714,CA,9
110778,CA,9
110875,CA,2
110918,CA,5
111045,CA,9
111054,CA,2
111081,CA,9
111188,CA,7
111391,CA,9
111434,CA,4
111461,CA,3
111513,CA,4
111638,CA,5
111708,CA,2
111717,CA,2
111726,CA,2
111744,CA,2
111762,CA,2
111799,CA,2
111887,CA,4
111896,CA,3
111920,CA,3
111939,CA,4
111948,CA,9
111966,CA,8
112075,CA,9
112084,CA,7
112127,CA,7
112172,CA,4
112181,CA,2
112190,CA,4
112251,CA,9
112260,CA,7
112288,CA,2
112367,CA,2
112376,CA,4
112385,CA,3
112394,CA,7
112455,CA,2
112525,CA,9
112561,CA,3
112570,CA,5
112686,CA,3
112817,CA,3
112826,CA,3
113096,CA,4
113111,CA,4
113193,CA,4
113218,CA,3
113236,CA,5
113333,CA,4
113449,CA,2
113537,CA,7
113573,CA,3
113582,CA,7
113634,CA,3
113698,CA,7
113704,CA,7
113856,CA,4
113980,CA,4
114114,CA,9
114123,CA,9
114266,CA,3
114354,CA,7
114390,CA,5
114433,CA,5
114460,CA,2
114549,CA,9
114585,CA,9
114637,CA,2
114716,CA,5
114734,CA,8
114761,CA,2
114789,CA,4
114813,CA,7
114831,CA,5
114840,CA,9
114859,CA,4
114938,CA,3
114947,CA,1
115001,CA,4
115010,CA,5
115083,CA,9
115126,CA,3
115214,CA,9
115287,CA,4
115296,CA,4
115357,CA,2
115393,CA,3
115409,CA,5
115658,CA,2
115728,CA,8
115746,CA,9
115755,CA,7
115773,CA,9
115861,CA,3
115931,CA,3
116226,CA,7
116350,CA,2
116439,CA,3
116563,CA,4
116712,CA,9
116846,CA,7
117052,CA,4
117104,CA,7
117140,CA,9
117168,CA,7
117195,CA,3
117238,CA,2
117247,CA,3
117274,CA,3
117283,CA,5
117520,CA,9
117557,CA,9
117575,CA,9
117627,CA,9
117636,CA,9
117645,CA,4
117672,CA,9
117681,CA,5
117690,CA,3
117706,CA,3
117715,CA,3
117724,CA,3
117733,CA,4
117751,CA,9
117788,CA,4
117803,CA,3
117867,CA,3
117894,CA,3
117900,CA,4
117946,CA,9
117955,CA,2
118134,CA,2
118143,CA,2
118161,CA,2
118198,CA,4
118347,CA,4
118541,CA,7
118684,CA,3
118693,CA,5
