UNITID,CNTLAFFI,SLO6,DISTNCED,TUITVARY,ROOM,BOARD
100654,1,1,2,1,1,1
100663,1,1,2,1,1,2
100690,4,0,1,2,2,3
100706,1,1,2,1,1,1
100724,1,1,2,1,1,1
100733,1,-2,-2,-2,-2,-2
100751,1,1,2,1,1,2
100760,1,0,2,1,2,3
100812,1,1,2,1,2,3
100830,1,1,2,1,1,2
100858,1,1,2,1,1,2
100937,4,1,2,2,1,2
101028,1,0,2,1,2,3
101116,2,0,2,2,2,3
101143,1,0,2,1,2,3
101161,1,1,2,1,1,1
101189,4,1,2,2,1,1
101240,1,1,2,1,1,1
101277,2,0,2,-2,2,3
101286,1,0,2,1,2,3
101295,1,0,2,1,1,1
101301,1,0,2,1,2,3
101365,3,0,2,2,2,3
101435,4,1,2,2,1,1
101453,4,0,2,2,1,3
101462,1,0,2,1,2,3
101471,1,0,2,2,2,3
101480,1,1,2,1,1,2
101505,1,0,2,1,2,3
101514,1,1,2,1,2,3
101541,4,1,2,2,1,1
101569,1,0,2,1,1,1
101587,1,1,2,1,1,2
101602,1,0,2,1,1,3
101648,1,0,2,1,1,1
101675,4,1,2,2,1,1
101693,4,1,2,2,1,1
101709,1,1,2,1,1,2
101736,1,0,2,1,2,3
101879,1,1,2,1,1,2
101897,1,0,2,1,2,3
101912,4,1,2,2,1,1
101994,1,0,2,1,2,3
102030,1,0,2,1,2,3
102049,4,1,2,2,1,2
102067,1,0,2,1,2,3
102076,1,0,2,1,1,1
102094,1,1,2,1,1,2
102234,4,1,2,2,1,2
102270,4,1,2,2,1,1
102298,4,1,2,2,1,1
102313,1,0,2,1,2,3
102368,1,1,2,1,1,1
102377,3,1,2,2,1,1
102395,3,0,2,2,2,3
102429,1,0,2,1,1,3
102553,1,1,2,1,1,1
102580,4,0,2,2,1,1
102614,1,1,2,1,1,2
102632,1,1,2,1,1,2
102669,4,0,2,2,1,1
102711,1,0,2,-2,1,1
102845,2,0,2,2,2,3
103501,2,0,2,-2,2,3
103529,1,-2,-2,-2,-2,-2
103741,2,0,2,-2,2,3
103893,2,0,2,-2,2,3
103909,2,0,2,-2,2,3
103927,2,0,2,-2,2,3
103945,3,0,2,2,2,3
103954,2,0,2,-2,2,3
103963,2,0,2,-2,2,3
104090,2,0,2,-2,2,3
104151,1,1,2,1,1,2
104160,1,0,2,1,1,2
104179,1,1,2,1,1,2
104188,3,0,2,2,2,3
104346,1,1,2,1,1,1
104391,2,0,2,-2,2,3
104425,1,0,2,1,1,1
104434,2,0,2,-2,2,3
104443,2,0,2,-2,2,3
104568,2,0,2,-2,2,3
104577,1,0,2,1,1,1
104586,3,1,2,2,1,2
104665,3,0,2,2,1,3
104708,1,1,2,1,2,3
104717,2,1,2,2,1,2
105136,1,-2,-2,-2,-2,-2
105145,1,0,2,1,2,3
105154,1,1,2,1,2,3
105206,1,0,2,1,2,3
105215,2,0,2,-2,2,3
105297,1,0,2,2,1,1
105330,1,1,2,1,1,2
105349,1,0,2,1,2,3
105367,4,0,2,2,2,3
105428,1,0,2,1,2,3
105525,1,1,2,1,2,3
105534,2,0,2,-2,2,3
105543,2,0,2,-2,2,3
105589,3,1,2,2,1,2
105659,2,0,2,-2,2,3
105668,1,0,2,1,2,3
105677,2,0,2,-2,2,3
105747,1,0,2,1,2,3
105792,1,0,2,1,2,3
105899,4,1,2,2,1,1
106041,2,0,2,-2,2,3
106111,2,0,2,-2,2,3
106148,1,0,2,1,1,2
106245,1,1,2,1,1,2
106263,1,0,2,1,1,3
106306,4,0,2,2,1,1
106315,2,0,2,-2,2,3
106324,2,0,2,-2,2,3
106342,4,1,2,2,1,1
106351,2,0,2,-2,2,3
106360,2,0,2,-2,2,3
106397,1,1,2,1,1,2
106412,1,1,2,1,1,1
106449,1,0,2,1,1,1
106458,1,1,2,1,1,2
106467,1,1,2,1,1,1
106485,1,1,2,1,1,2
106494,2,0,2,-2,2,3
106546,4,0,2,2,2,3
106625,1,0,2,1,2,3
106704,1,1,2,1,1,2
106713,4,0,2,2,1,1
106795,1,0,2,1,2,3
106810,4,0,2,2,1,1
106883,1,0,2,1,2,3
106892,2,0,2,-2,2,3
106908,2,0,2,-2,2,3
106980,1,0,2,1,1,2
106999,1,0,2,1,2,3
107044,4,1,2,2,1,1
107071,1,0,2,1,1,1
107080,4,1,2,2,1,1
107099,2,0,2,-2,2,3
107123,3,0,2,-2,2,3
107141,3,1,2,2,1,1
107220,2,0,2,-2,2,3
107293,2,0,2,-2,2,3
107318,1,0,2,1,2,3
107327,1,0,2,1,2,3
107442,2,0,2,-2,2,3
107460,1,1,2,1,2,3
107488,1,0,2,2,2,3
107512,4,1,2,2,1,1
107521,1,0,2,1,2,3
107549,1,0,2,1,1,3
107558,4,1,2,2,1,2
107585,1,0,2,1,2,3
107600,4,1,2,2,1,1
107619,1,0,2,1,2,3
107637,1,0,2,1,2,3
107655,2,0,2,-2,2,3
107664,1,0,2,1,2,3
107725,1,0,2,1,2,3
107743,1,0,2,1,1,1
107789,2,0,2,-2,2,3
107831,2,0,2,-2,2,3
107840,4,0,2,2,2,3
107877,4,1,2,2,1,2
107974,1,0,2,1,2,3
107983,1,0,2,1,1,2
107992,1,0,2,1,1,1
108056,1,-2,-2,-2,-2,-2
108065,2,0,2,-2,2,3
108092,1,1,2,1,1,2
108232,2,1,2,2,1,1
108269,3,0,2,2,2,3
108667,1,1,2,1,2,3
108807,1,0,2,1,2,3
108852,3,0,2,2,1,3
108861,4,0,2,2,2,3
108870,3,0,2,2,2,3
108977,2,0,2,-2,2,3
109040,2,0,2,-2,2,3
