UNITID,CREDITS1,CREDITS3,SLO8,STUSRV2,STUSRV3,LIBRES1,TUITPL1,TUITPL3,ATHASSOC
100654,1,1,1,1,1,1,0,1,1
100663,1,1,1,1,1,1,0,1,1
100690,0,1,0,1,1,1,1,0,2
100706,1,1,1,1,1,1,0,1,1
100724,1,1,1,1,1,1,0,1,1
100733,-2,-2,-2,-2,-2,-2,-2,-2,-2
100751,1,1,1,1,1,1,0,1,1
100760,1,1,0,1,0,1,0,0,1
100812,1,1,1,1,1,1,0,1,2
100830,1,1,1,1,1,1,0,1,1
100858,1,1,1,1,1,1,0,1,1
100937,1,1,1,1,1,1,0,1,1
101028,1,1,0,1,0,1,0,0,1
101116,0,1,0,1,1,1,0,1,2
101143,1,1,0,1,1,1,0,0,1
101161,1,1,0,1,1,1,0,0,1
101189,1,1,1,1,1,1,0,1,1
101240,1,1,0,1,1,1,0,1,1
101277,0,0,-2,0,0,0,0,1,-2
101286,1,1,0,1,1,1,0,0,1
101295,1,1,0,1,1,1,0,1,1
101301,1,1,0,1,1,1,0,0,1
101365,1,1,0,1,1,0,0,1,2
101435,1,1,1,1,1,1,1,1,1
101453,1,1,0,1,1,1,0,1,2
101462,1,1,0,1,1,1,0,1,2
101471,0,0,0,1,1,0,0,0,2
101480,1,1,1,1,1,1,0,1,1
101505,1,1,0,1,1,1,0,0,1
101514,1,1,0,1,1,1,0,1,1
101541,1,1,1,1,1,1,0,1,1
101569,1,1,0,1,1,1,0,1,1
101587,1,1,1,1,1,1,0,1,1
101602,1,1,0,1,1,1,0,0,1
101648,1,1,0,1,0,1,0,0,1
101675,1,1,1,1,0,1,0,1,1
101693,1,1,1,1,1,1,0,1,1
101709,1,1,1,1,1,1,0,1,1
101736,1,1,0,1,0,1,0,1,2
101879,1,1,1,1,1,1,0,1,1
101897,1,1,0,1,1,1,0,0,1
101912,1,1,0,1,1,1,0,1,1
101994,1,1,0,1,0,0,0,0,2
102030,1,1,0,1,1,1,0,0,1
102049,1,1,1,1,1,1,0,1,1
102067,1,1,0,1,1,1,0,0,1
102076,1,1,0,1,0,1,0,1,1
102094,1,1,1,1,1,1,0,1,1
102234,1,1,1,1,1,1,0,1,1
102270,1,1,1,1,1,1,0,1,1
102298,1,1,1,1,1,1,0,1,1
102313,1,1,0,1,1,1,0,1,2
102368,1,1,1,1,1,1,0,1,1
102377,1,1,1,1,1,1,0,1,1
102395,0,0,0,1,0,1,0,0,2
102429,1,1,0,1,0,1,0,1,1
102553,1,1,1,1,1,1,0,1,1
102580,1,1,0,0,0,1,0,1,2
102614,1,1,1,1,1,1,0,1,1
102632,1,1,1,1,1,1,0,1,2
102669,1,1,1,1,1,1,0,1,2
102711,0,0,-2,1,1,1,0,0,-2
102845,0,1,0,1,1,0,0,1,2
103501,0,0,0,1,1,0,0,1,2
103529,-2,-2,-2,-2,-2,-2,-2,-2,-2
103741,0,0,-2,1,1,0,0,1,-2
103893,0,0,0,1,0,1,0,1,2
103909,0,0,0,1,0,1,0,1,2
103927,0,0,0,1,1,1,0,1,2
103945,0,1,0,1,1,1,0,1,2
103954,0,0,-2,1,1,0,0,1,-2
103963,0,0,-2,1,0,1,0,1,-2
104090,0,1,0,1,1,0,0,1,2
104151,1,1,1,1,1,1,0,1,1
104160,1,1,0,1,1,1,0,1,1
104179,1,1,1,1,1,1,1,1,1
104188,0,1,0,1,1,1,1,1,2
104346,1,1,1,1,1,1,0,1,1
104391,0,0,-2,1,0,0,0,0,-2
104425,1,1,0,1,1,1,0,1,1
104434,0,0,-2,1,1,0,0,1,-2
104443,0,0,-2,1,1,0,0,1,-2
104568,0,0,-2,1,0,0,0,1,-2
104577,1,1,0,1,1,1,0,1,1
104586,1,1,0,1,1,1,0,1,1
104665,0,1,0,0,0,1,1,1,2
104708,1,1,0,1,1,1,0,1,1
104717,1,1,1,1,1,1,0,1,1
105136,-2,-2,-2,-2,-2,-2,-2,-2,-2
105145,1,1,1,1,1,1,0,1,1
105154,1,1,0,1,1,1,0,1,1
105206,1,1,0,1,1,1,0,1,2
105215,0,0,-2,1,1,1,1,1,-2
105297,1,0,1,1,1,1,0,1,1
105330,1,1,1,1,1,1,1,1,1
105349,1,1,1,1,1,1,0,1,2
105367,0,1,1,1,0,0,0,1,2
105428,1,1,1,1,1,1,0,1,1
105525,1,1,1,1,1,1,0,1,1
105534,0,0,0,1,1,0,1,1,2
105543,0,0,0,1,1,0,1,1,2
105589,1,1,1,1,0,1,0,1,1
105659,0,0,0,0,1,0,0,1,2
105668,1,1,1,1,0,1,0,1,2
105677,0,0,-2,0,0,0,0,0,-2
105747,1,1,1,1,0,1,0,1,1
105792,1,1,1,1,1,1,0,1,1
105899,1,1,1,1,1,1,0,1,1
106041,0,0,0,1,1,1,1,1,2
106111,0,0,-2,1,1,0,0,1,-2
106148,1,1,1,1,1,1,0,1,1
106245,1,1,1,1,1,1,0,1,1
106263,0,0,0,1,0,1,0,1,2
106306,1,1,0,1,0,1,0,1,1
106315,0,0,-2,1,1,0,0,1,-2
106324,0,0,-2,0,0,1,0,1,-2
106342,1,1,1,1,1,1,0,1,1
106351,0,0,-2,1,1,1,0,1,-2
106360,0,0,-2,0,0,1,0,1,-2
106397,1,1,1,1,1,1,0,1,1
106412,1,1,1,1,1,1,0,1,1
106449,1,1,0,1,1,1,0,1,2
106458,1,1,1,1,1,1,0,1,1
106467,1,1,1,1,1,1,0,1,1
106485,1,1,1,1,1,1,0,1,1
106494,0,0,-2,0,0,1,0,1,-2
106546,1,1,0,1,0,0,0,1,2
106625,1,1,0,1,1,1,0,1,2
106704,1,1,1,1,1,1,0,1,1
106713,1,1,1,1,0,1,0,1,1
106795,1,1,0,1,1,1,0,1,1
106810,1,1,1,1,0,1,0,1,1
106883,1,1,0,1,1,1,0,1,2
106892,0,0,-2,1,0,1,0,0,-2
106908,0,0,-2,1,0,0,1,1,-2
106980,1,1,0,1,1,1,1,1,1
106999,1,1,0,1,1,1,0,1,2
107044,1,1,1,1,1,1,0,1,1
