UNITID,TUITION1,FEE1,TUITION2,FEE2,TUITION3,FEE3,CHG2AY3,CHG3AY3,CHG8AY3,CHG9AY3 
100654,8610,1414,8610,1414,17220,1414,10024,18634,3090,3440
100663,8568,0,8568,0,20400,0,8568,20400,5555,5555
100690,9000,950,9000,950,9000,950,6950,6950,1600,1600
100706,9730,1608,9730,1608,22126,1608,11338,23734,4076,4076
100724,8328,2740,8328,2740,16656,2740,11068,19396,4228,4228
100751,10780,840,10780,840,30250,840,11620,31090,4620,5692
100760,3990,940,3990,940,7920,940,4930,8860,4360,4360
100812,6180,1530,6180,1530,12360,1530,.,.,.,.
100830,7992,868,7992,868,17952,868,8860,18820,3830,3830
100858,10080,1716,10080,1716,30240,1716,11796,31956,5904,5904
100937,17650,1250,17650,1250,17650,1250,18900,18900,4690,4690
101028,3990,930,3990,930,7980,930,4920,8910,1800,1800
101116,16920,1080,16920,1080,16920,1080,17014,17014,6562,4593
101143,3990,970,3990,970,7980,970,4960,8950,2696,2696
101161,3990,870,3990,870,7980,870,4860,8850,4507,4407
101189,21000,1990,21000,1990,21000,1990,22990,22990,4800,4800
101240,4096,1080,4096,1080,8352,1080,3936,7128,2916,2916
101286,3990,810,3990,810,7980,810,4800,8790,1000,1000
101295,3990,870,3990,870,7980,870,4860,8850,4560,4560
101301,3990,570,3990,570,7980,570,4560,8550,1000,1000
101365,13320,880,13320,880,13320,880,14200,14200,6318,8775
101435,25546,1489,25546,1489,25546,1489,27900,27900,2068,2035
101453,10152,1380,10152,1380,10152,1380,11532,11532,3897,3492
101462,3990,840,3990,840,7980,840,4830,8820,2400,2400
101471,4788,684,4788,684,4788,684,5472,5472,.,.
101480,9720,1400,9720,1400,19440,1400,11120,20840,2692,4843
101505,4920,930,4920,930,8910,930,5850,9840,4826,4826
101514,3990,950,3990,950,7980,950,4940,8930,3200,3200
101541,17240,1400,17240,1400,17240,1400,18640,18640,3280,3280
101569,3990,870,3990,870,7980,870,4860,8850,5807,5807
101587,9100,1890,9100,1890,18200,1890,10990,20090,3505,3505
101602,3990,870,3990,870,7980,870,4860,8850,3625,3625
101648,6000,3418,6000,3418,12000,3418,9418,15418,.,.
101675,11164,1550,11164,1550,11164,1550,12714,12714,2992,2992
101693,22700,1665,22700,1665,22700,1665,24310,24310,4800,4800
101709,12090,1620,12090,1620,25110,1620,13710,26730,5984,6085
101736,3990,841,3990,841,7980,841,4831,8821,2460,2310
101879,9600,1020,9600,1020,19200,1020,10620,20220,2800,2800
101897,3990,870,3990,870,7980,870,4860,8850,1000,2000
101912,18974,1016,18974,1016,18974,1016,19990,19990,6800,6800
101994,3990,930,3990,930,7980,930,4920,8910,1500,1500
102030,3990,870,3990,870,7980,870,4860,8850,2700,2700
102049,33248,950,33248,950,33248,950,34198,34198,5452,5302
102067,3990,570,3990,570,7980,570,4560,8550,4050,3320
102076,4256,1088,4256,1088,8512,1088,5344,9600,3939,3939
102094,7896,500,7896,500,15792,500,8396,16292,5370,5370
102234,39336,2532,39336,2532,39336,2532,41868,41868,3496,3496
102270,9548,1744,9548,1744,9548,1744,11322,11322,4572,4572
102298,12130,1736,12130,1736,12130,1736,13866,13866,3700,3700
102313,3990,780,3990,780,7980,780,4770,8760,4000,4000
102368,7800,1108,7800,1108,15600,1108,8908,16708,6766,6766
102377,19594,3020,19594,3020,19594,3020,22614,22614,7654,4855
102395,17424,0,17424,0,17424,0,.,.,.,.
102429,4256,958,4256,958,8512,958,5214,9470,6488,6488
102553,7224,1526,7224,1526,23072,2156,8622,25228,8486,8486
102580,9000,700,9000,700,9000,700,9700,9700,4930,4930
102614,7301,1868,7301,1868,23319,2519,7176,21312,4250,4250
102632,7250,1602,7250,1602,23154,2248,6960,21096,3716,3716
102669,20350,410,20350,410,20350,410,20760,20760,4410,4410
102845,19276,0,19276,0,19276,0,18711,18711,8145,8145
103945,16600,0,16600,0,16600,0,16600,16600,8248,8248
104151,10710,628,10710,628,28800,628,11338,29428,4412,4412
104160,2112,0,2112,0,7704,0,2840,9830,8471,8471
104179,10990,1394,10990,1394,33273,1394,12716,36743,5550,3550
104188,22944,100,22944,100,22944,100,23069,23069,6290,3362
104346,2580,0,2580,0,5160,0,2580,5160,2815,2815
104425,2184,0,2184,0,6240,0,2184,6240,3426,3426
104577,2700,0,2700,0,9120,0,2700,9120,6376,4824
104586,36456,1408,36456,1408,36456,1408,37864,37864,4822,4822
104665,.,.,.,.,.,.,.,.,.,.
104708,2040,30,2040,30,7824,30,2070,7854,8532,8532
104717,16424,757,16424,757,16424,757,17800,17800,5700,5700
105145,2040,30,2040,30,7824,30,2070,7854,8532,8532
105154,2040,30,2040,30,7824,30,2070,7854,8532,8532
105206,1944,168,1944,168,6804,168,2112,6972,3720,3720
105297,1320,90,1320,90,1320,90,1410,1410,7260,7260
105330,10243,1138,10243,1138,16248,1138,11896,26642,4720,4720
