,,1 = public,1 = yes,1 = yes,1 = yes,"If tution varies for out of state students 1 yes 0 = no,",Offer room,Offer board,,,,,,,,,,,1 = Secondary GPA required to be reported,1 = requiredCompletion of college-preparatory program when apply,Num_applicants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UNITID,TYPE,religious_affiliation,for_profit,StudyAbroad,TUITVARY,ROOM,BOARD,TUITION1,FEE1,TUITION2,FEE2,TUITION3,FEE3,CHG2AY3,CHG3AY3,CHG8AY3,CHG9AY3 ,ADMCON1,ADMCON4,APPLCN,GRCOHRT,UGENTERN,RRFTCT,RET_PCF,STUFACR ,SCUGFFN,SCUGFFP,UAGRNTP,UAGRNTT,UPGRNTP,UPGRNTT,UFLOANP,UFLOANT,STABBR,HLOFFER,SA09MOT,CREDITS1,CREDITS3,SLO8,STUSRV2,STUSRV3,LIBRES1,TUITPL1,TUITPL3,ATHASSOC, F1A06 ,F1A13,F1C051,F1C061,F1E01,F1E03,F1E04,F1E08,F1N07   
6,100654,1,0,0,1,1,1,1,8610,1414,8610,1414,17220,1414,10024,18634,3090,3440,1,0,9855,1525,1712,1688,54,18,1688,32,87,45409382,71,19916507,75,28131849,AL,9,16100143,1,1,1,1,1,1,0,1,1,"278,440,664.00",263028799,7257779,27527791,18427393,176182,0,22985068,162897947
7,100663,1,0,0,1,1,1,2,8568,0,8568,0,20400,0,8568,20400,5555,5555,1,1,10391,2102,3529,2294,86,20,2304,17,68,88534753,34,26747816,47,45658008,AL,9,42365752,1,1,1,1,1,1,0,1,1,"5,558,803,134.00",3414391964,173773607,40974834,23943357,304826,44643,85456029,4114622690
8,100706,1,0,0,1,1,1,1,9730,1608,9730,1608,22126,1608,11338,23734,4076,4076,1,0,5793,1328,2186,1489,82,19,1489,19,72,58435613,24,8533685,39,20051487,AL,9,27356289,1,1,1,1,1,1,0,1,1,"521,103,730.00",418779906,12878882,20821717,9005275,109283,0,50114488,271026168
9,100724,1,0,0,1,1,1,1,8328,2740,8328,2740,16656,2740,11068,19396,4228,4228,1,0,7027,926,1123,1000,62,15,1000,27,93,29288349,74,13341998,78,27329106,AL,9,0,1,1,1,1,1,1,0,1,1,"325,537,085.00",354313634,12928881,15714772,11454301,170200,0,10759214,145173225
10,100751,1,0,0,1,1,1,2,10780,840,10780,840,30250,840,11620,31090,4620,5692,1,1,39560,6466,7948,6734,87,20,6734,21,67,302907289,17,26353781,36,76675367,AL,9,125001923,1,1,1,1,1,1,0,1,1,"4,881,510,109.00",2542095875,103079114,60453485,27196901,772030,0,275547610,1109387116
11,100830,1,0,0,1,1,1,2,7992,868,7992,868,17952,868,8860,18820,3830,3830,1,0,4606,641,1072,602,70,16,602,13,77,26325259,47,11282206,54,16818775,AL,9,12101578,1,1,1,1,1,1,0,1,1,"184,716,313.00",182619344,4592684,7303651,11011844,105571,0,15969905,89786767
12,100858,1,0,0,1,1,1,2,10080,1716,10080,1716,30240,1716,11796,31956,5904,5904,1,1,17946,4869,6014,4761,92,20,4761,19,57,123179318,13,15631504,30,47130178,AL,9,100224546,1,1,1,1,1,1,0,1,1,"3,845,168,598.00",2458734610,144933734,38623385,16203862,84512,10345,122754700,1140229313
13,100937,0,1,0,1,0,1,2,17650,1250,17650,1250,17650,1250,18900,18900,4690,4690,1,0,2460,256,298,332,80,10,332,27,97,13427505,23,1313515,46,3572267,AL,5,5795822,1,1,1,1,1,1,0,1,1,"150,253,116.00",46263992,3760960,8950139,1333126,10878745,44619283,0,0
14,101189,0,1,0,1,0,1,1,21000,1990,21000,1990,21000,1990,22990,22990,4800,4800,1,0,1572,277,867,258,60,13,258,12,85,17922874,50,5075304,64,12241248,AL,9,2551928,1,1,1,1,1,1,0,1,1,"91,818,974.00",46977221,2773551,9018481,5936806,12599710,43624987,1399846,0
15,101365,0,0,0,0,0,2,3,13320,880,13320,880,13320,880,14200,14200,6318,8775,0,0,177,16,219,1,100,14,11,2,80,2178684,70,1672264,77,3677343,AL,8,0,1,1,0,1,1,0,0,1,2,"12,409,960.00",3585638,352839,1774069,2216100,979581,5762641,25468,0
16,101435,0,1,0,1,0,1,1,25546,1489,25546,1489,25546,1489,27900,27900,2068,2035,1,0,2129,219,248,256,70,13,256,25,98,13414317,41,1902219,73,5137379,AL,5,3222805,1,1,1,1,1,1,1,1,1,"90,105,209.00",29825484,2197449,6536882,2028506,10696399,23465278,418209,0
17,101453,0,1,0,0,0,1,3,10152,1380,10152,1380,10152,1380,11532,11532,3897,3492,0,0,3,1,16,1,100,7,1,2,90,449724,49,109108,10,16477,AL,7,0,1,1,0,1,1,1,0,1,2,"19,196,743.00",2031445,211899,328584,124013,0,3413020,0,0
18,101480,1,0,0,1,1,1,2,9720,1400,9720,1400,19440,1400,11120,20840,2692,4843,1,0,10932,1290,2572,1469,73,21,1469,19,77,43412578,40,15284630,67,30042686,AL,9,19777704,1,1,1,1,1,1,0,1,1,"381,479,000.00",306254000,8930333,22832049,10419000,0,0,30677000,10542327
19,101541,0,1,0,1,0,1,1,17240,1400,17240,1400,17240,1400,18640,18640,3280,3280,1,0,432,72,97,46,63,5,46,18,95,3082656,55,571692,72,1133269,AL,5,0,1,1,1,1,1,1,0,1,1,"31,270,049.00",16701634,669507,1382833,611597,2019208,9415776,173719,0
20,101587,1,0,0,1,1,1,2,9100,1890,9100,1890,18200,1890,10990,20090,3505,3505,0,0,1834,245,647,320,63,14,322,14,78,11381948,53,5594415,67,10567529,AL,9,5908779,1,1,1,1,1,1,0,1,1,"101,777,589.00",121395658,5992220,9111864,6350696,597128,0,12519840,74235729
21,101648,1,0,0,0,1,1,1,6000,3418,6000,3418,12000,3418,9418,15418,.,.,1,0,1000,255,263,269,34,14,269,66,93,3846481,42,785691,45,925790,AL,3,1100222,1,1,0,1,0,1,0,0,1,"26,158,633.00",16140502,799707,3157852,777878,0,0,2697024,14991285
