UNITID,SCUGFFN,SCUGFFP,UAGRNTP,UAGRNTT,UPGRNTP,UPGRNTT,UFLOANP,UFLOANT
100654,1688,32,87,45409382,71,19916507,75,28131849
100663,2304,17,68,88534753,34,26747816,47,45658008
100690,3,1,90,1640360,75,972719,85,2518027
100706,1489,19,72,58435613,24,8533685,39,20051487
100724,1000,27,93,29288349,74,13341998,78,27329106
100751,6734,21,67,302907289,17,26353781,36,76675367
100760,328,18,75,5313995,38,2897221,13,1126534
100812,0,0,66,6911758,43,5659763,49,11436951
100830,602,13,77,26325259,47,11282206,54,16818775
100858,4761,19,57,123179318,13,15631504,30,47130178
100937,332,27,97,13427505,23,1313515,46,3572267
101028,260,16,80,6757281,51,3690128,17,156643
101116,13,5,81,1096077,59,600857,68,1662579
101143,359,20,85,6639168,42,3492171,13,1201513
101161,1336,18,74,23440539,34,11958302,21,9058987
101189,258,12,85,17922874,50,5075304,64,12241248
101240,812,18,71,16683910,49,9806778,0,0
101277,46,36,91,398508,86,398508,81,404544
101286,686,15,76,22923912,47,14340785,0,0
101295,967,19,76,15067876,46,9551027,27,7706744
101301,242,16,82,6258636,55,4190486,0,0
101365,11,2,80,2178684,70,1672264,77,3677343
101435,256,25,98,13414317,41,1902219,73,5137379
101453,1,2,90,449724,49,109108,10,16477
101462,74,9,79,2473273,53,1917372,0,0
101471,176,36,100,1573106,26,248922,0,0
101480,1469,19,77,43412578,40,15284630,67,30042686
101505,954,11,45,17373569,30,11488156,21,6980917
101514,1214,13,51,17796363,31,16214128,20,9162740
101541,46,18,95,3082656,55,571692,72,1133269
101569,671,20,88,15241671,66,9240114,0,0
101587,322,14,78,11381948,53,5594415,67,10567529
101602,399,23,88,6882219,46,3783189,0,0
101648,269,66,93,3846481,42,785691,45,925790
101675,305,21,94,10676549,84,6612663,89,9487212
101693,266,15,67,15726234,30,2505794,47,7709984
101709,482,22,90,23082946,39,4291888,55,8507853
101736,589,17,65,12146084,40,8470974,22,3889629
101879,1020,17,74,32589994,35,10211777,46,17948741
101897,434,15,73,8660912,42,5657356,9,937320
101912,299,22,86,12194882,54,3663289,75,4160263
101994,59,12,96,2059475,52,868315,0,0
102030,588,21,83,11211011,54,6892811,0,0
102049,900,25,95,60114943,11,1885590,31,7077171
102067,789,19,53,10333439,43,8240286,0,0
102076,577,26,61,7357901,43,4411397,21,2350486
102094,1600,17,72,45211943,39,18312268,55,59255751
102234,292,25,99,37783820,37,2145023,81,9233807
102270,227,26,90,6281267,79,3579888,80,5005094
102298,310,25,100,11074463,90,6145446,80,10988545
102313,332,16,84,7235392,55,5268237,0,0
102368,1395,11,72,57392547,41,23420075,64,46052351
102377,513,21,57,36411491,57,6906993,8,1314605
102395,0,0,22,142648,13,108838,12,206362
102429,597,16,76,11646992,36,5857655,0,0
102553,1007,8,44,34392186,23,11549040,20,15564270
102580,3,8,80,220856,30,58357,10,40325
102614,539,9,49,21079651,23,5588627,20,8588461
102632,109,6,41,3734898,17,1130513,16,1891078
102669,45,13,86,3927991,44,593483,50,1154510
102711,153,14,20,669451,4,188505,1,77851
102845,535,22,81,11056025,59,6241129,68,12983105
103501,397,67,72,2509140,67,2235942,66,2865858
103741,82,48,67,545893,66,466295,54,773011
103893,307,25,65,3428384,59,2798121,64,6276268
103909,150,19,62,2177142,50,1391269,61,3892706
103927,118,24,68,1455880,61,1130707,64,2521931
103945,2,6,56,166097,53,106219,61,212162
103954,6,10,78,246689,78,208905,57,202999
103963,401,49,64,2201128,60,1798740,49,3056688
104090,715,33,57,6766115,57,6319734,46,9630495
104151,13837,22,85,575533851,33,97573231,35,139147909
104160,627,8,60,18649816,44,14633342,1,371359
104179,6036,17,77,340949508,29,48510329,33,73837261
104346,514,11,71,9877873,41,7907901,7,1872607
104391,79,100,67,223300,67,223300,66,250760
104425,520,14,50,8403545,38,5382645,6,1271023
104434,21,57,43,79370,43,67440,38,104549
104443,31,36,60,247792,58,197146,47,351507
104568,176,33,59,1018884,57,996384,60,1690350
104577,464,8,26,7623016,16,3991282,0,0
104586,752,26,92,42732183,20,2800175,40,7533487
104708,1397,8,36,27091490,32,21340334,9,6199493
104717,5679,10,72,325902029,45,124838879,58,287650517
105145,288,6,40,7294274,31,5773008,14,2571098
105154,1289,6,30,24082704,26,19617071,11,7859525
105206,156,4,44,7043819,38,6014983,10,2549828
105215,455,33,84,4016355,46,2310111,52,4286185
